"作品/来源","公开入口","观察到的表现载体","观察到的交互/结构","发布或现实工具","证据等级","来源"
"灵异论坛调查记录","mminghuo.github.io","模拟电脑、论坛、帖子","关键词搜索、翻页、隐藏信息、分支、五结局","GitHub Pages","作品页明确","https://miyeji.cn/games/ling-yi-lun-tan-diao-cha-ji-lu"
"查无此人","chawuciren.pages.dev","前任电脑、通讯录、邮箱、工牌、周报","首字提取、三线并行、无提示、假结局、三结局","Cloudflare Pages","作品页明确","https://miyeji.cn/games/cha-wu-ci-ren"
"邺山彼处","yeshanbichu.pages.dev","伪网站、求救信息、外部微信环节","网页解谜、手机扫码、跨设备","Cloudflare Pages、QR、微信","作品页与反馈明确","https://miyeji.cn/games/ye-shan-bi-chu"
"我的秘密花园","anninganya-glitch.github.io","文字、图片、链接、现实网络、听觉材料","玩家扮演自己、观察推理、跨页面发现","GitHub Pages","作品页明确；音频由反馈佐证","https://miyeji.cn/games/wo-de-mi-mi-hua-yuan"
"随时看房","house.mxos.top","伪租房平台、聊天记录、合同、电脑/手机","页面细节取证、电脑连接手机/ADB 隐喻","独立域名、跨设备","作品页与反馈明确","https://miyeji.cn/games/sui-shi-kan-fang"
"少聊天室的女孩们","heiziheizi123.github.io","多聊天室、新闻、隐藏日志、界面变化","旁观或回应、多周目、结局碎片、真相线","GitHub Pages","作品页明确","https://miyeji.cn/games/game-1780534783225"
"回声：HK1939","echohk1939.netlify.app","文字档案、历史背景","本格推理、复杂文字谜题","Netlify","作品页明确","https://miyeji.cn/games/hk1939"
"白色房间","game.itspro.cn","神秘邮件、委托、公寓","连续谜题、数学要素、彩蛋","独立域名","作品页明确","https://miyeji.cn/games/game-1779978379918"
"銀河電燈作品","独立站与 mp.weixin.qq.com","独立网页、微信公众号文章","失踪事件、广告调查、照片事件等入口组合","独立网站、微信公众号","作品索引明确","https://ginga-light.top/works"
"Eden's Code","edenscode.cn","地图、AR、透明视频、数字拼图、排行榜","真实地点寻宝、NFC、扫描、行为任务、收集","高德地图、NFC、A-Frame、MindAR、小程序、SPA","官方技术说明明确","https://edenscode.cn/about.html"
"待注销用户｜WLAN-0714","本仓库","模拟桌面、邮件、聊天、云盘、检索、便笺、证据板、日志","密码、关键词、隐藏联系人、证据阈值、三结局","React、TypeScript、vinext、localStorage","源代码","../app/ArgExperience.tsx"
